# Title : in-situ observations catalog
# Description : catalogue of available in-situ observations per platform
# Project : MyOcean
# Format : 1.0
# Date of update : 201801240820
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_GoteborgLarjeholm_20171225.nc,57.7658,57.7658,12.0056,12.0056,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-18T19:01:51Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_GoteborgTingstadstunneln_20171225.nc,57.7231,57.7231,11.9869,11.9869,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-18T19:01:54Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_GoteborgTorshamnen_20171225.nc,57.6847,57.6847,11.7906,11.7906,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,SMHI,2018-01-22T13:01:44Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Grena_20171225.nc,56.4111,56.4111,10.9306,10.9306,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:54Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Hamina_20171225.nc,60.5628,60.5628,27.1792,27.1792,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,FMI,2018-01-18T13:01:41Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Hanko_20171225.nc,59.8229,59.8229,22.9766,22.9766,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,FMI,2018-01-18T13:01:42Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Helsinki_20171225.nc,60.1536,60.1536,24.9562,24.9562,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,FMI,2018-01-18T13:01:44Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Heltermaa_20171225.nc,58.8664,58.8664,23.0466,23.0466,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,MSI,2018-01-19T13:01:46Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Hesnaes_20171225.nc,54.8167,54.8167,12.1333,12.1333,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:57Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Hobro_20171225.nc,56.6333,56.6333,9.8000,9.8000,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-19T01:02:02Z,R,SLEV DEPH
